Date	Depth (m)	Temperature (°C)	Specific Conductance (µS/cm)	DO Concentration (mg/l)	DO Saturation (%)	pH	Chlorophyll (µg/l)	Turbidity (NTU)	Phycocyanin (µg/l)	Provisional	End Check Condition	ParametersOutOfRange	Sonde	
1/1/2019 12:56:00 AM	9.964	8.67	97.68	10.02	85.99	7.41	0.93	1.30	0.19	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 1:56:00 AM	9.961	8.68	97.81	10.06	86.36	7.42	0.78	1.25	0.19	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 2:56:00 AM	9.967	8.68	97.83	10.06	86.39	7.43	0.95	1.28	0.19	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 3:56:00 AM	9.967	8.69	97.87	10.08	86.57	7.42	1.08	1.29	0.24	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 4:56:00 AM	9.957	8.70	98.07	10.12	86.90	7.44	0.91	1.43	0.22	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 5:56:00 AM	9.956	8.70	98.13	10.12	86.92	7.44	0.75	1.35	0.22	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 6:56:00 AM	9.960	8.72	98.21	10.14	87.13	7.44	0.85	1.35	0.21	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 7:56:00 AM	9.959	8.72	98.37	10.14	87.10	7.45	0.95	1.33	0.19	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 8:56:00 AM	9.962	8.70	98.32	10.13	86.99	7.44	0.84	1.26	0.19	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 9:56:00 AM	9.968	8.72	98.32	10.14	87.18	7.42	0.91	1.33	0.18	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 10:56:00 AM	9.960	8.71	98.23	10.13	87.04	7.41	0.78	1.31	0.19	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 11:56:00 AM	9.955	8.71	98.22	10.13	87.06	7.40	0.94	1.28	0.19	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 12:56:00 PM	9.942	8.70	97.99	10.08	86.57	7.38	0.77	1.27	0.19	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 1:56:00 PM	9.946	8.71	98.19	10.12	86.94	7.39	0.86	1.23	0.18	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 2:56:00 PM	9.937	8.72	98.18	10.11	86.86	7.39	0.86	1.32	0.14	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 3:56:00 PM	9.938	8.73	98.23	10.12	86.96	7.40	0.88	1.35	0.21	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 5:56:00 PM	9.954	8.73	98.30	10.10	86.79	7.43	0.91	1.33	0.18	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 6:56:00 PM	9.948	8.72	98.33	10.10	86.83	7.44	0.92	1.37	0.18	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 7:56:00 PM	9.945	8.71	98.25	10.10	86.76	7.44	1.14	1.32	0.18	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 8:56:00 PM	9.937	8.70	98.21	10.07	86.49	7.44	0.77	1.27	0.20	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 9:56:00 PM	9.928	8.70	98.21	10.05	86.36	7.43	1.20	1.29	0.19	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 10:56:00 PM	9.931	8.70	98.20	10.04	86.28	7.43	0.92	1.38	0.20	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/1/2019 11:56:00 PM	9.933	8.70	98.24	10.07	86.48	7.44	0.89	1.27	0.21	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/2/2019 12:56:00 AM	9.928	8.69	98.23	10.05	86.33	7.43	1.02	1.26	0.20	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/2/2019 1:56:00 AM	9.927	8.69	98.23	10.05	86.31	7.43	0.92	1.29	0.20	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/2/2019 2:56:00 AM	9.920	8.67	98.17	10.03	86.07	7.43	0.99	1.32	0.22	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/2/2019 3:56:00 AM	9.914	8.67	98.09	10.03	86.08	7.42	0.66	1.30	0.19	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/2/2019 4:56:00 AM	9.901	8.67	98.20	10.05	86.31	7.42	0.97	1.32	0.22	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/2/2019 5:56:00 AM	9.900	8.67	98.22	10.05	86.22	7.42	0.92	1.37	0.18	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/2/2019 6:56:00 AM	9.897	8.65	98.10	10.01	85.92	7.42	1.02	1.28	0.19	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/2/2019 7:56:00 AM	9.898	8.64	97.65	9.93	85.19	7.40	0.98	1.38	0.20	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/2/2019 10:56:00 AM	9.977	8.63	97.91	9.90	84.87	7.34	0.77	1.28	0.20	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
1/2/2019 11:56:00 AM	9.962	8.63	97.87	9.88	84.76	7.34	0.82	1.20	0.18	No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Good); Temperature (N/A); 		Patty	
