Date	Depth (m)	Temperature (°C)	Specific Conductance (µS/cm)	DO Concentration (mg/l)	DO Saturation (%)	pH	Chlorophyll (µg/l)	Turbidity (NTU)	Phycocyanin (µg/l)	Provisional	End Check Condition	ParametersOutOfRange	Sonde	
1/1/2013 2:57:00 AM	10.010	8.24	94.00	8.60	73.00	6.48	2.40	0.30		No	DO (Fair); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Fair); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2013 3:57:00 AM	10.000	8.22	94.00	8.60	73.00	6.49	1.80	0.40		No	DO (Fair); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Fair); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2013 4:57:00 AM	9.990	8.23	94.00	8.60	73.00	6.58	1.60	0.50		No	DO (Fair); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Fair); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2013 5:57:00 AM	10.000	8.23	94.00	8.60	73.00	6.63	2.40	0.40		No	DO (Fair); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Fair); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2013 6:57:00 AM	10.000	8.23	94.00	8.60	73.00	6.57	0.20	0.40		No	DO (Fair); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Fair); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2013 7:57:00 AM	10.000	8.22	94.00	8.60	73.00	6.50	0.50	0.40		No	DO (Fair); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Fair); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2013 10:57:00 AM	9.960	8.21	94.00	8.60	73.00	6.34	1.90	0.40		No	DO (Fair); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Fair); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2013 11:57:00 AM	9.940	8.22	94.00	8.60	73.00	6.49	1.00	0.40		No	DO (Fair); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Fair); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2013 12:57:00 PM	9.940	8.21	94.00	8.60	73.00	6.52	1.30	0.40		No	DO (Fair); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Fair); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2013 1:57:00 PM	9.940	8.21	94.00	8.60	73.00	6.50	0.20	0.40		No	DO (Fair); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Fair); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
