Date	Depth (m)	Temperature (°C)	Specific Conductance (µS/cm)	DO Concentration (mg/l)	DO Saturation (%)	pH	Chlorophyll (µg/l)	Turbidity (NTU)	Phycocyanin (µg/l)	Provisional	End Check Condition	ParametersOutOfRange	Sonde	
1/1/2015 2:57:00 AM	10.050	8.83	94.00	8.90	77.00	7.59	1.60	0.60		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 3:57:00 AM	10.040	8.81	94.00	8.90	77.00	7.59	1.70	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 4:57:00 AM	10.030	8.81	94.00	8.90	77.00	7.59	1.80	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 5:57:00 AM	10.020	8.80	94.00	8.90	77.00	7.59	2.60	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 6:57:00 AM	10.030	8.80	94.00	8.90	77.00	7.59	1.10	0.30		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 7:57:00 AM	10.030	8.80	94.00	8.90	77.00	7.58	1.50	0.40		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 9:57:00 AM	10.010	8.80	94.00	8.90	76.00	7.57	2.00	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 10:57:00 AM	10.010	8.79	94.00	8.90	77.00	7.59	2.00	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 11:57:00 AM	10.010	8.80	94.00	8.90	76.00	7.59	2.00	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 12:57:00 PM	10.010	8.80	94.00	8.90	76.00	7.58	1.70	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 1:57:00 PM	9.990	8.79	94.00	8.90	77.00	7.58	3.60	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 2:57:00 PM	9.980	8.79	94.00	8.90	77.00	7.57	2.00	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 3:57:00 PM	9.990	8.80	94.00	8.90	77.00	7.58	-0.10	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 5:57:00 PM	9.980	8.81	94.00	8.90	77.00	7.57	2.40	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 6:57:00 PM	9.980	8.81	94.00	8.90	77.00	7.59	2.70	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 7:57:00 PM	9.970	8.79	94.00	8.90	77.00	7.59	1.70	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 8:57:00 PM	9.970	8.79	94.00	8.90	77.00	7.59	1.80	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 9:57:00 PM	9.970	8.78	94.00	8.90	77.00	7.59	1.70	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 10:57:00 PM	9.970	8.78	94.00	8.90	77.00	7.59	0.40	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/1/2015 11:57:00 PM	9.970	8.78	94.00	8.90	76.00	7.59	2.60	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 2:57:00 AM	10.030	8.74	94.00	8.90	77.00	7.59	1.60	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 3:57:00 AM	10.020	8.76	94.00	8.90	77.00	7.59	1.70	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 4:57:00 AM	10.020	8.76	94.00	8.90	77.00	7.59	1.60	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 5:57:00 AM	10.020	8.74	94.00	8.90	77.00	7.59	0.90	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 6:57:00 AM	10.030	8.75	94.00	8.90	76.00	7.59	2.60	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 7:57:00 AM	10.030	8.75	94.00	8.90	77.00	7.59	2.80	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 9:57:00 AM	10.030	8.74	94.00	8.90	76.00	7.57	0.60	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 10:57:00 AM	10.030	8.72	94.00	8.90	77.00	7.59	1.70	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 11:57:00 AM	10.020	8.74	94.00	8.90	76.00	7.59	1.20	0.60		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 12:57:00 PM	10.030	8.74	94.00	8.90	77.00	7.58	2.00	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 1:57:00 PM	10.010	8.73	94.00	8.90	77.00	7.58	2.10	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 2:57:00 PM	10.020	8.73	94.00	8.90	77.00	7.57	1.80	0.30		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 3:57:00 PM	10.030	8.73	94.00	8.90	77.00	7.58	1.00	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 5:57:00 PM	9.980	8.73	94.00	8.90	76.00	7.57	1.80	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 6:57:00 PM	9.990	8.73	94.00	8.90	77.00	7.59	2.00	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 7:57:00 PM	9.990	8.73	94.00	8.90	77.00	7.59	2.10	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 8:57:00 PM	10.000	8.72	94.00	8.90	77.00	7.59	2.40	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 9:57:00 PM	10.010	8.73	94.00	8.90	76.00	7.59	2.50	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 10:57:00 PM	10.020	8.73	94.00	8.90	77.00	7.59	2.40	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/2/2015 11:57:00 PM	10.020	8.72	94.00	8.90	77.00	7.59	1.80	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/3/2015 1:57:00 AM	10.030	8.74	94.00	8.90	76.00	7.57	2.30	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/3/2015 2:57:00 AM	10.040	8.74	94.00	8.90	76.00	7.59	1.90	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/3/2015 3:57:00 AM	10.040	8.74	94.00	8.90	77.00	7.59	2.00	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/3/2015 4:57:00 AM	10.040	8.73	94.00	8.90	76.00	7.59	2.90	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/3/2015 5:57:00 AM	10.040	8.73	94.00	8.90	76.00	7.59	2.90	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/3/2015 6:57:00 AM	10.040	8.72	94.00	8.90	76.00	7.59	0.40	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/3/2015 7:57:00 AM	10.050	8.71	94.00	8.90	76.00	7.59	1.20	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
1/3/2015 9:57:00 AM	10.020	8.71	94.00	8.90	76.00	7.59	1.20	0.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		SBC	
