Date	Depth (m)	Temperature (°C)	Specific Conductance (µS/cm)	DO Concentration (mg/l)	DO Saturation (%)	pH	Chlorophyll (µg/l)	Turbidity (NTU)	Phycocyanin (µg/l)	Provisional	End Check Condition	ParametersOutOfRange	Sonde	
3/9/2016 10:55:00 AM	9.998	8.22	105.00	9.85	83.60	7.44	1.70	0.30		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
3/9/2016 11:55:00 AM	10.001	8.22	105.00	9.86	83.70	7.50	5.80	0.30		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
3/9/2016 12:55:00 PM	10.003	8.22	105.00	9.88	83.90	7.48	-2.60	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 	ChlorophyllA;	JTH	
3/9/2016 1:55:00 PM	9.978	8.24	105.00	9.86	83.80	7.49	11.30	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
3/9/2016 2:55:00 PM	10.020	8.25	104.00	9.87	83.90	7.44	2.30	0.30		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
3/9/2016 3:55:00 PM	9.970	8.26	104.00	9.91	84.20	7.50	4.00	0.40		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
3/9/2016 5:55:00 PM	9.967	8.24	104.00	9.85	83.60	7.43	6.50	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
3/9/2016 6:55:00 PM	9.937	8.19	94.00	9.84	83.50	7.45	0.30	0.40		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
3/9/2016 7:55:00 PM	9.969	8.20	94.00	9.86	83.60	7.46	1.30	0.30		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
3/9/2016 8:55:00 PM	9.976	8.19	94.00	9.85	83.60	7.45	2.00	0.30		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
3/9/2016 9:55:00 PM	9.950	8.19	94.00	9.85	83.60	7.48	2.80	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
3/9/2016 10:55:00 PM	9.956	8.18	94.00	9.80	83.10	7.45	1.50	0.30		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
3/9/2016 11:55:00 PM	9.946	8.16	94.00	9.84	83.40	7.46	-4.80	0.30		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 	ChlorophyllA;	JTH	
3/10/2016 1:55:00 AM	9.998	8.15	94.00	9.81	83.10	7.42	4.60	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
3/10/2016 2:55:00 AM	9.908	8.16	93.00	9.82	83.20	7.44	5.80	0.20		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		JTH	
