Date	Depth (m)	Temperature (°C)	Specific Conductance (µS/cm)	DO Concentration (mg/l)	DO Saturation (%)	pH	Chlorophyll (µg/l)	Turbidity (NTU)	Phycocyanin (µg/l)	Provisional	End Check Condition	ParametersOutOfRange	Sonde	
1/2/2018 7:56:00 AM	9.994	8.02	97.44	10.28	86.84	7.44	0.83	0.76		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 9:56:00 AM	9.975	8.01	97.37	10.28	86.85	7.44	0.81	0.78		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 10:56:00 AM	9.975	8.01	97.44	10.29	86.92	7.44	0.73	0.78		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 11:56:00 AM	9.968	8.02	97.67	10.31	87.09	7.44	0.77	0.80		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 12:56:00 PM	9.961	8.02	97.67	10.31	87.09	7.45	0.78	0.76		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 1:56:00 PM	9.952	8.02	97.66	10.31	87.09	7.44	0.95	0.80		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 2:56:00 PM	9.948	8.02	97.75	10.32	87.19	7.45	0.69	0.78		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 3:56:00 PM	9.946	8.02	97.83	10.33	87.26	7.45	0.89	0.83		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 5:56:00 PM	9.953	8.02	97.76	10.32	87.20	7.45	0.87	0.79		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 6:56:00 PM	9.954	8.01	97.68	10.31	87.14	7.45	0.74	0.88		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 7:56:00 PM	9.951	8.01	97.72	10.33	87.31	7.45	1.02	0.74		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 8:56:00 PM	9.941	8.01	97.67	10.32	87.19	7.45	0.96	0.78		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 9:56:00 PM	9.940	8.01	97.70	10.33	87.22	7.45	0.99	0.75		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 10:56:00 PM	9.935	8.00	97.67	10.33	87.27	7.45	0.86	0.80		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/2/2018 11:56:00 PM	9.936	7.99	97.63	10.34	87.26	7.45	0.75	0.76		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 1:56:00 AM	9.932	7.98	97.40	10.32	87.10	7.44	0.98	0.81		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 2:56:00 AM	9.932	7.98	97.36	10.32	87.14	7.44	0.90	0.76		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 3:56:00 AM	9.930	7.97	97.33	10.32	87.13	7.44	0.82	0.81		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 4:56:00 AM	9.927	7.96	97.34	10.33	87.13	7.44	0.85	0.76		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 5:56:00 AM	9.930	7.94	97.24	10.33	87.12	7.44	0.79	0.76		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 6:56:00 AM	9.917	7.95	97.09	10.33	87.08	7.44	0.78	0.75		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 7:56:00 AM	9.918	7.94	97.11	10.32	87.03	7.44	0.76	0.75		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 11:56:00 AM	9.914	7.93	97.00	10.32	87.04	7.44	0.69	0.74		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 12:56:00 PM	9.909	7.93	96.98	10.34	87.15	7.44	0.80	0.75		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 1:56:00 PM	9.899	7.94	97.00	10.34	87.16	7.44	0.82	0.76		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 2:56:00 PM	9.883	7.94	96.99	10.33	87.15	7.44	0.74	0.77		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 3:56:00 PM	9.897	7.95	96.91	10.36	87.39	7.44	0.76	0.78		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 5:56:00 PM	9.914	7.94	97.03	10.35	87.27	7.44	0.76	0.77		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 6:56:00 PM	9.905	7.93	97.04	10.34	87.17	7.44	0.80	0.76		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 7:56:00 PM	9.899	7.92	97.01	10.36	87.32	7.44	0.76	0.76		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 8:56:00 PM	9.896	7.92	97.01	10.35	87.23	7.44	0.70	0.74		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 9:56:00 PM	9.898	7.92	97.00	10.34	87.19	7.44	0.79	0.78		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 10:56:00 PM	9.900	7.91	96.99	10.35	87.22	7.44	0.73	0.75		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/3/2018 11:56:00 PM	9.895	7.91	96.98	10.35	87.21	7.44	0.75	0.76		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/4/2018 1:56:00 AM	9.945	7.91	96.91	10.35	87.22	7.44	0.85	0.78		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
1/4/2018 2:56:00 AM	9.945	7.90	96.93	10.35	87.24	7.44	0.85	0.75		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Patty	
