Date	Depth (m)	Temperature (°C)	Specific Conductance (µS/cm)	DO Concentration (mg/l)	DO Saturation (%)	pH	Chlorophyll (µg/l)	Turbidity (NTU)	Phycocyanin (µg/l)	Provisional	End Check Condition	ParametersOutOfRange	Sonde	
1/1/2017 1:55:00 AM	9.991	8.25	94.00	8.76	74.40	7.37	4.70	-0.80		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 2:55:00 AM	9.983	8.22	94.00	8.78	74.50	7.38	4.30	-1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 3:55:00 AM	9.967	8.23	94.00	8.77	74.50	7.38	-0.30	-0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 4:55:00 AM	9.969	8.24	94.00	8.76	74.40	7.38	-3.90	-0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 	ChlorophyllA;	C3PO	
1/1/2017 5:55:00 AM	9.975	8.24	94.00	8.75	74.40	7.38	8.00	-0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 6:55:00 AM	9.966	8.24	94.00	8.76	74.40	7.38	1.30	-1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 7:55:00 AM	9.971	8.23	94.00	8.77	74.50	7.37	0.20	-1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 9:55:00 AM	10.019	8.22	94.00	8.74	74.20	7.37	2.00	-0.70		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 10:55:00 AM	10.046	8.22	94.00	8.74	74.20	7.35	6.40	-0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 11:55:00 AM	9.996	8.22	94.00	8.76	74.40	7.37	-2.20	-0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 	ChlorophyllA;	C3PO	
1/1/2017 12:55:00 PM	9.991	8.22	94.00	8.76	74.30	7.38	4.40	-1.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 1:55:00 PM	10.017	8.22	94.00	8.76	74.40	7.38	0.00	-0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 2:55:00 PM	10.025	8.21	94.00	8.76	74.40	7.36	3.70	-1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 3:55:00 PM	10.015	8.22	94.00	8.76	74.40	7.38	6.60	-0.80		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 5:55:00 PM	10.012	8.19	94.00	8.74	74.20	7.38	-2.80	-1.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 	ChlorophyllA;	C3PO	
1/1/2017 6:55:00 PM	10.016	8.20	94.00	8.74	74.10	7.39	-0.50	-1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
1/1/2017 7:55:00 PM	10.018	8.19	94.00	8.75	74.30	7.39	6.00	-1.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		C3PO	
