Date	Depth (m)	Temperature (°C)	Specific Conductance (µS/cm)	DO Concentration (mg/l)	DO Saturation (%)	pH	Chlorophyll (µg/l)	Turbidity (NTU)	Phycocyanin (µg/l)	Provisional	End Check Condition	ParametersOutOfRange	Sonde	
2/13/2008 4:56:00 PM	10.070	6.29	98.00	11.90	96.30	7.63	2.80	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/13/2008 5:56:00 PM	10.080	6.29	98.00	11.90	96.30	7.63	4.20	0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/13/2008 7:56:00 PM	9.930	6.30	98.00	11.86	96.00	7.63	3.50	0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/13/2008 8:56:00 PM	9.930	6.29	98.00	11.89	96.30	7.63	4.00	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/13/2008 9:56:00 PM	9.940	6.31	98.00	11.89	96.30	7.64	6.50	0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/13/2008 10:56:00 PM	9.940	6.34	98.00	11.92	96.60	7.65	3.80	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/13/2008 11:56:00 PM	9.940	6.34	98.00	11.99	97.20	7.67	3.70	0.70		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 1:56:00 AM	9.980	6.30	98.00	11.81	95.60	7.62	3.00	1.30		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 2:56:00 AM	9.980	6.30	98.00	11.85	96.00	7.62	3.30	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 3:56:00 AM	9.980	6.30	98.00	11.85	96.00	7.64	4.10	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 4:56:00 AM	9.980	6.30	98.00	11.86	96.00	7.63	5.00	0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 5:56:00 AM	9.980	6.32	98.00	11.90	96.40	7.65	3.90	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 7:56:00 AM	9.950	6.31	98.00	11.88	96.20	7.64	4.40	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 8:56:00 AM	9.950	6.31	98.00	11.92	96.50	7.64	4.00	0.80		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 9:56:00 AM	9.950	6.30	98.00	11.85	95.90	7.63	2.90	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 10:56:00 AM	9.950	6.30	98.00	11.88	96.20	7.64	3.80	0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 11:56:00 AM	9.950	6.31	98.00	11.88	96.20	7.64	3.90	0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 1:56:00 PM	9.920	6.30	98.00	11.84	95.90	7.63	2.00	0.80		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 2:56:00 PM	9.920	6.30	98.00	11.89	96.20	7.63	3.10	0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 3:56:00 PM	9.920	6.32	98.00	12.01	97.30	7.67	3.10	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 4:56:00 PM	9.920	6.31	98.00	11.91	96.40	7.65	4.60	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 5:56:00 PM	9.920	6.31	98.00	11.92	96.50	7.65	3.00	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 7:56:00 PM	10.090	6.32	98.00	11.90	96.40	7.66	3.70	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 8:56:00 PM	10.090	6.35	98.00	12.02	97.50	7.68	4.20	0.80		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 9:56:00 PM	10.100	6.37	98.00	12.07	97.90	7.69	4.10	1.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 10:56:00 PM	10.100	6.35	98.00	12.03	97.50	7.69	4.30	1.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/14/2008 11:56:00 PM	10.090	6.33	98.00	11.98	97.10	7.67	4.80	0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/15/2008 1:56:00 AM	9.950	6.32	98.00	11.92	96.50	7.64	3.80	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/15/2008 2:56:00 AM	9.940	6.32	98.00	11.92	96.50	7.65	3.50	0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/15/2008 3:56:00 AM	9.940	6.31	98.00	11.89	96.30	7.64	4.10	0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/15/2008 4:56:00 AM	9.950	6.31	98.00	11.86	96.00	7.64	3.90	0.80		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/15/2008 5:56:00 AM	9.950	6.31	98.00	11.89	96.20	7.64	2.90	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/15/2008 7:56:00 AM	9.940	6.32	98.00	11.92	96.60	7.65	3.50	0.80		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/15/2008 8:56:00 AM	9.930	6.32	98.00	11.99	97.10	7.65	5.10	0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/15/2008 9:56:00 AM	9.930	6.31	98.00	11.87	96.10	7.64	3.80	1.10		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/15/2008 10:56:00 AM	9.920	6.31	98.00	11.92	96.50	7.64	3.20	1.00		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/15/2008 11:56:00 AM	9.920	6.31	98.00	11.87	96.10	7.64	4.30	0.90		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
2/19/2008 6:56:00 PM	10.090	6.36	98.00	12.27	99.50	7.72	5.10	0.80		No	DO (Good); Chlorophyll (Good); Conductivity (Good); Turbidity (Good); pH (Good); Phycocyanin (Poor); Temperature (N/A); 		Endor	
